u,v,w
-1.425139360864665e-06,1.1333183244260728e-05,1.5289669584538723e-05
-3.240032559782042e-06,5.8109455010735075e-06,1.7215731934904613e-05
-4.632329705030094e-06,-1.0544881645084169e-07,1.7277814667987503e-05
-5.4632804660283755e-06,-5.824313585939805e-06,1.5497569397297833e-05
-5.64792331315104e-06,-1.078217347253037e-05,1.2065100096850891e-05
-5.162708672643172e-06,-1.4487459756849276e-05,7.320324623777634e-06
-4.048537891338946e-06,-1.6559248473384336e-05,1.7254521356628233e-06
-2.409284059568008e-06,-1.6759421733924902e-05,-4.1695337793390235e-06
-4.061016279812667e-07,-1.5018279690008745e-05,-9.766505444184133e-06
-5.52918630711438e-07,-1.4830271691703512e-05,-9.818098453188042e-06
1.5798703247600402e-06,-1.1255914737494464e-05,-1.4471119078442654e-05
3.645614880438753e-06,-6.212921546996789e-06,-1.7666556256262558e-05
5.406875240111356e-06,-2.261536418079968e-07,-1.8994259832709532e-05
6.653609246181578e-06,6.02743710950815e-06,-1.824497202772249e-05
7.236109035076124e-06,1.180113153444665e-05,-1.546828899261501e-05
7.089445569388544e-06,1.6394525110870445e-05,-1.0986912929267469e-05
6.240935422094334e-06,1.926976030972364e-05,-5.350245388944117e-06
4.800094068749183e-06,2.012869877368437e-05,7.602921882916828e-07
2.937735432185511e-06,1.893320396473482e-05,6.640142564346594e-06
8.617471587077556e-07,1.587870983272595e-05,1.1653400015935201e-05
-1.2062961934661214e-06,1.134374244372237e-05,1.5294547762573638e-05
-3.052455826187486e-06,5.8334236618437084e-06,1.722291310646167e-05
-4.4893649531711125e-06,-7.518180200908802e-08,1.7277817877337593e-05
-5.372250579969143e-06,-5.78467859404372e-06,1.5480342714462848e-05
-5.611235523772235e-06,-1.0726282505091645e-05,1.202412994162523e-05
-5.179156470672774e-06,-1.4405369054835097e-05,7.255892130795309e-06
-4.114478733451467e-06,-1.6441772870238698e-05,1.6464707589950016e-06
