u,v,w
-5.2791594219409285e-06,-2.420381207002385e-05,-7.212712520765989e-06
-5.18551206921483e-06,-2.1867112825191205e-05,-1.2784595673222458e-05
-1.2896369848841462e-05,-1.2643323579809598e-05,-7.448929363219777e-06
-1.5666817682681237e-05,-3.181023608944527e-06,-2.287517514357721e-06
-1.4448879274800006e-05,5.546339196642222e-06,2.4184228319023784e-06
-9.97421011102545e-06,1.3003980268009354e-05,6.562877736004985e-06
-2.6473754192546818e-06,1.886869249237984e-05,1.0130620929213008e-05
7.4935569390334895e-06,2.2844299745561644e-05,1.3140124059976679e-05
2.0853156580070973e-05,2.451347442596827e-05,1.5611929398811404e-05
3.84837783864927e-05,2.3195292626742205e-05,1.7545421806183984e-05
6.252497698407757e-05,1.7865690820086563e-05,1.8870602767155003e-05
9.675876493422295e-05,7.719706825384332e-06,1.923597232843556e-05
0.00014428727582473075,-4.078008918949078e-06,1.702536652176727e-05
0.0001875142302260605,-4.318720361910927e-06,7.587061036440821e-06
0.00017864216649562652,2.6744778778335025e-06,-8.34998003767171e-06
0.00013275998951613782,-6.501996921328991e-06,-1.917114124953571e-05
8.927887874143725e-05,-2.1097415677090684e-05,-2.3386613862497183e-05
5.501474091868376e-05,-3.0456316881691644e-05,-2.3795513004961883e-05
2.8341966199180513e-05,-3.280499732705748e-05,-2.1686577746334947e-05
8.37542771133572e-06,-2.9273865164760995e-05,-1.7770520852251287e-05
-5.185512069214827e-06,-2.1867112825191246e-05,-1.2784595673222484e-05
-2.4699464473124144e-06,-2.1596264722597048e-05,-1.7372721015814252e-05
-1.1512223566813165e-05,-1.3170642109327727e-05,-1.1247960994437509e-05
-1.538789763025428e-05,-4.661255158407956e-06,-4.490784877345776e-06
-1.505941038108342e-05,3.2061595191471835e-06,1.9850078749468723e-06
-1.1322109972370724e-05,1.0074724028140279e-05,7.64637622453881e-06
-4.661314339677231e-06,1.5786643154974168e-05,1.2168003401015959e-05
4.795564069997415e-06,2.024708979858465e-05,1.5276428177054157e-05
1.7340494346375894e-05,2.3330846967093477e-05,1.6623619308511263e-05
3.385429617799249e-05,2.4804746019083323e-05,1.566902566459612e-05
5.6189815822033816e-05,2.424843031390227e-05,1.1602897591675154e-05
8.777033210563239e-05,2.1032629977800003e-05,3.7050519278253825e-06
0.00013257370350016896,1.4701506674027651e-05,-5.906712976529197e-06
0.00018034396235817106,5.961816166322524e-06,-5.468821853166065e-06
0.00018457487171412627,-5.250762412973807e-06,7.4810808177974294e-06
0.00014285678494129836,-1.8447479071840234e-05,5.515029790782576e-06
9.810332800187598e-05,-2.8556127291256063e-05,-7.034775474772405e-06
6.21858601568269e-05,-3.3386081047768996e-05,-1.726707098137875e-05
3.4023104280980324e-05,-3.3137528795538774e-05,-2.1937712004893802e-05
1.2566895396659801e-05,-2.8748526728304653e-05,-2.1488135105514722e-05
-2.469946447312425e-06,-2.1596264722597092e-05,-1.737272101581428e-05
-2.3614574719219655e-06,-1.667847915288974e-05,-2.2240495414721573e-05
-1.1454978214019279e-05,-1.0470542885657137e-05,-1.3895289609636404e-05
-1.5363879872357348e-05,-3.700563042701635e-06,-5.39403809306849e-06
-1.5058422497899151e-05,2.726754564522688e-06,2.525052330489517e-06
-1.1339157773015917e-05,8.287893183047862e-06,9.494428449719475e-06
-4.695241720674195e-06,1.2663003521626705e-05,1.535018926664617e-05
4.742250862121288e-06,1.5577734309384094e-05,1.9996949798754054e-05
1.7260396190876463e-05,1.667410071302845e-05,2.331554417801931e-05
3.3732201325381715e-05,1.5386416882782077e-05,2.5087782086475574e-05
5.59996428813049e-05,1.0850234622127346e-05,2.4920558888271216e-05
8.749211157262399e-05,2.2335401586414293e-06,2.2220891359770544e-05
0.000132364250456769,-8.493653348526358e-06,1.6530463972343072e-05
0.00018107361225483368,-9.11646066157653e-06,8.334484537173813e-06
